Date,Direction,Entry,Exit,Quantity,PnL,Capital,Drawdown%,Result
2026-04-10,SHORT,1865.7,1867.0,107.2,-139.36,53659.97,2.25,EOD
2026-04-13,LONG,1868.7,1886.3,107.03,1883.66,55543.64,0.0,TARGET
2026-04-15,LONG,1872.4,1864.91,106.81,-800.0,54743.64,1.44,SL
2026-04-16,SHORT,1837.2,1835.5,108.86,185.06,54928.7,1.11,EOD
2026-04-17,LONG,1840.4,1847.3,108.67,749.84,55678.54,0.0,EOD
2026-04-20,SHORT,1856.0,1842.0,107.76,1508.62,57187.16,0.0,TARGET
2026-04-21,LONG,1862.9,1855.45,107.36,-800.0,56387.16,1.4,SL
2026-04-22,SHORT,1837.1,1831.0,108.87,664.09,57051.25,0.24,EOD
2026-04-23,LONG,1837.4,1830.05,108.85,-800.0,56251.25,1.64,SL
2026-04-27,LONG,1817.4,1816.0,110.05,-154.07,56097.18,1.91,EOD
2026-04-28,LONG,1834.2,1851.0,109.04,1831.86,57929.04,0.0,TARGET
2026-04-29,SHORT,1880.8,1888.32,106.34,-800.0,57129.04,1.38,SL
2026-04-30,SHORT,1877.9,1885.41,106.5,-800.0,56329.04,2.76,SL
2026-05-04,LONG,1866.0,1858.54,107.18,-800.0,55529.04,4.14,SL
2026-05-05,SHORT,1826.2,1804.7,109.52,2354.62,57883.66,0.08,TARGET
2026-05-06,SHORT,1831.6,1833.8,109.19,-240.23,57643.43,0.49,EOD
2026-05-07,LONG,1822.7,1836.1,109.73,1470.35,59113.78,0.0,TARGET
2026-05-08,SHORT,1824.8,1832.1,109.6,-800.0,58313.78,1.35,SL
2026-05-11,SHORT,1779.9,1761.8,112.37,2033.82,60347.6,0.0,TARGET
2026-05-12,SHORT,1772.7,1759.0,112.82,1545.66,61893.26,0.0,TARGET
2026-05-13,LONG,1785.4,1778.26,112.02,-800.0,61093.26,1.29,SL
2026-05-14,LONG,1833.2,1849.9,109.1,1821.95,62915.22,0.0,TARGET
2026-05-18,SHORT,1925.5,1933.2,103.87,-800.0,62115.22,1.27,SL
2026-05-19,SHORT,1918.3,1911.0,104.26,761.09,62876.31,0.06,EOD
2026-05-21,LONG,1905.0,1897.38,104.99,-800.0,62076.31,1.33,SL
2026-05-22,SHORT,1886.1,1872.5,106.04,1442.13,63518.43,0.0,TARGET
2026-05-25,SHORT,1879.3,1863.5,106.42,1681.48,65199.91,0.0,TARGET
2026-05-27,SHORT,1857.4,1864.83,107.68,-800.0,64399.91,1.23,SL
