Date,Capital,DailyPnL
2026-02-01,4280.243333333342,-6.466666666667152
2026-02-02,4280.243333333342,0.0
2026-02-03,4232.143333333342,-48.100000000000364
2026-02-04,4167.310000000006,-64.83333333333576
2026-02-05,4089.0433333333403,-78.26666666666529
2026-02-06,4011.5433333333403,-77.5
2026-02-09,3962.343333333336,-49.200000000004366
2026-02-10,4009.010000000002,46.66666666666606
2026-02-11,4030.810000000003,21.80000000000109
2026-02-12,3987.4766666666706,-43.333333333332575
2026-02-13,3912.5433333333362,-74.9333333333343
2026-02-16,3836.5433333333353,-76.00000000000091
2026-02-17,3795.443333333335,-41.100000000000364
2026-02-18,3741.8033333333365,-53.63999999999851
2026-02-19,3673.803333333333,-68.00000000000364
2026-02-20,3638.5699999999993,-35.233333333333576
2026-02-23,3578.469999999999,-60.100000000000364
2026-02-24,3524.7099999999978,-53.76000000000113
2026-02-25,3514.3099999999963,-10.400000000001455
2026-02-26,3464.976666666664,-49.33333333333212
2026-02-27,3416.876666666662,-48.10000000000218
2026-03-02,3388.209999999996,-28.66666666666606
2026-03-04,3323.9433333333277,-64.26666666666824
2026-03-05,3251.443333333325,-72.50000000000284
2026-03-06,3369.0433333333253,117.60000000000036
2026-03-09,3302.943333333326,-66.09999999999945
2026-03-10,3235.3433333333305,-67.59999999999536
2026-03-11,3190.243333333331,-45.09999999999923
2026-03-12,3144.843333333332,-45.39999999999918
2026-03-13,3129.743333333333,-15.099999999998772
2026-03-16,3112.0433333333317,-17.700000000001182
2026-03-17,3068.143333333331,-43.900000000000546
2026-03-18,3006.326666666663,-61.816666666668084
2026-03-19,2951.393333333329,-54.9333333333343
2026-03-20,2907.9599999999946,-43.4333333333343
2026-03-23,2859.859999999996,-48.09999999999877
2026-03-24,2806.459999999996,-53.40000000000009
2026-03-25,2753.3933333333266,-53.066666666669335
2026-03-27,2697.13666666666,-56.25666666666666
2026-03-30,2805.769999999995,108.63333333333503
2026-04-01,2765.269999999997,-40.49999999999818
2026-04-02,2708.836666666663,-56.43333333333385
2026-04-06,2659.2366666666608,-49.60000000000218
2026-04-07,2607.1366666666604,-52.100000000000364
2026-04-08,2543.1099999999938,-64.02666666666664
2026-04-09,2478.576666666661,-64.53333333333285
2026-04-10,2461.7099999999937,-16.866666666667243
2026-04-13,2461.7099999999937,0.0
2026-04-15,2412.776666666661,-48.933333333332484
2026-04-16,2360.643333333328,-52.13333333333321
2026-04-17,2307.843333333327,-52.80000000000109
2026-04-20,2251.9033333333273,-55.9399999999996
2026-04-21,2314.9033333333277,63.000000000000455
2026-04-22,2260.3033333333274,-54.600000000000364
2026-04-23,2256.523333333327,-3.7800000000002
2026-04-24,2212.5899999999947,-43.933333333332484
2026-04-27,2165.389999999996,-47.19999999999891
2026-04-28,2113.9533333333293,-51.4366666666665
2026-04-29,2066.786666666663,-47.16666666666583
2026-04-30,2121.2866666666623,54.49999999999932
2026-05-04,2065.3466666666627,-55.9399999999996
2026-05-05,2020.5133333333292,-44.833333333333485
2026-05-06,2002.173333333329,-18.340000000000146
2026-05-07,1957.3399999999967,-44.83333333333235
2026-05-08,2002.1733333333302,44.833333333333485
2026-05-11,1960.6733333333316,-41.499999999998636
2026-05-12,1965.6733333333316,5.0
2026-05-13,1912.4933333333313,-53.18000000000029
2026-05-14,1870.5933333333317,-41.899999999999636
2026-05-15,1824.859999999998,-45.733333333333576
2026-05-18,1770.2233333333309,-54.636666666667224
2026-05-19,1717.3333333333296,-52.89000000000124
2026-05-20,1676.443333333331,-40.88999999999851
2026-05-21,1697.6166666666634,21.173333333332266
2026-05-22,1641.8833333333298,-55.733333333333576
2026-05-25,1589.9499999999964,-51.933333333333394
2026-05-26,1544.769999999997,-45.17999999999938
2026-05-27,1500.936666666663,-43.83333333333394
2026-05-29,1453.5033333333288,-47.4333333333343
2026-06-01,1412.969999999995,-40.53333333333376
2026-06-02,1361.1699999999953,-51.79999999999973
2026-06-03,1311.2366666666624,-49.93333333333294
2026-06-04,1267.469999999996,-43.766666666666424
2026-06-05,1223.3699999999956,-44.100000000000364
2026-06-08,1178.003333333328,-45.366666666667356
2026-06-09,1137.5033333333279,-40.50000000000023
2026-06-10,1086.5699999999954,-50.933333333332484
2026-06-11,1037.4699999999948,-49.10000000000059
2026-06-12,989.7033333333284,-47.766666666666424
2026-06-15,978.2366666666612,-11.466666666667152
2026-06-16,934.5033333333281,-43.73333333333312
2026-06-17,894.1699999999951,-40.33333333333303
2026-06-18,847.1033333333285,-47.066666666666606
2026-06-19,805.1699999999951,-41.933333333333394
2026-06-22,763.4366666666624,-41.733333333332666
2026-06-23,721.236666666663,-42.19999999999936
2026-06-24,674.7033333333302,-46.53333333333285
2026-06-25,674.7033333333302,0.0
2026-06-29,634.0033333333304,-40.69999999999982
2026-06-30,592.1366666666638,-41.86666666666656
2026-07-01,550.3699999999974,-41.766666666666424
2026-07-02,533.9033333333307,-16.466666666666697
2026-07-03,494.30333333333056,-39.600000000000136
